cash_position_id,account_id,customer_id,branch_id,business_date,opening_balance,closing_balance,available_liquidity,currency_code,region_code,start_date,end_date,baseline
CASHPOS_0000014,ACC_NAMER_000712,CUST_NAMER_000712,BR_NAMER_0112,2026-06-22,4725276.6,4284040.69,3517439.73,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000015,ACC_NAMER_001285,CUST_NAMER_001285,BR_NAMER_0085,2026-06-29,2973305.93,3131169.92,2776046.12,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000016,ACC_NAMER_000757,CUST_NAMER_000757,BR_NAMER_0157,2026-06-18,2757211.2,3062770.62,2966968.2,USD,NAMER,2026-06-18,2026-06-19,cash_20260630
CASHPOS_0000017,ACC_NAMER_000059,CUST_NAMER_000059,BR_NAMER_0059,2026-06-25,4818321.99,4257153.12,3968616.52,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000018,ACC_NAMER_000123,CUST_NAMER_000123,BR_NAMER_0123,2026-06-01,2177368.93,2209300.15,1563423.56,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000019,ACC_NAMER_000335,CUST_NAMER_000335,BR_NAMER_0135,2026-06-27,1611192.16,1728808.95,1602483.51,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000020,ACC_NAMER_001345,CUST_NAMER_001345,BR_NAMER_0145,2026-06-27,1788518.87,1652178.26,1321808.1,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000021,ACC_NAMER_000929,CUST_NAMER_000929,BR_NAMER_0129,2026-06-10,1641049.07,1607857.14,1516061.11,USD,NAMER,2026-06-10,2026-06-11,cash_20260630
CASHPOS_0000022,ACC_NAMER_000603,CUST_NAMER_000603,BR_NAMER_0003,2026-06-27,5434702.67,4904609.68,4199780.8,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000023,ACC_NAMER_000007,CUST_NAMER_000007,BR_NAMER_0007,2026-06-01,952270.36,928921.5,660021.81,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000024,ACC_NAMER_000993,CUST_NAMER_000993,BR_NAMER_0193,2026-06-29,888530.68,952054.02,709028.08,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000025,ACC_NAMER_001177,CUST_NAMER_001177,BR_NAMER_0177,2026-06-12,1131847.3,1075475.74,931921.78,USD,NAMER,2026-06-12,2026-06-13,cash_20260630
CASHPOS_0000026,ACC_NAMER_000586,CUST_NAMER_000586,BR_NAMER_0186,2026-06-14,4029892.72,3657487.67,3562473.16,USD,NAMER,2026-06-14,2026-06-15,cash_20260630
CASHPOS_0000027,ACC_NAMER_000794,CUST_NAMER_000794,BR_NAMER_0194,2026-06-29,3890165.8,3659094.35,3039310.23,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000028,ACC_NAMER_000498,CUST_NAMER_000498,BR_NAMER_0098,2026-06-22,3195669.16,2859084.94,2150153.26,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000029,ACC_NAMER_000338,CUST_NAMER_000338,BR_NAMER_0138,2026-06-04,2095548.42,2326765.81,1872967.22,USD,NAMER,2026-06-04,2026-06-05,cash_20260630
CASHPOS_0000030,ACC_NAMER_001553,CUST_NAMER_001553,BR_NAMER_0153,2026-06-05,3077581.8,2865668.89,2578551.53,USD,NAMER,2026-06-05,2026-06-06,cash_20260630
CASHPOS_0000031,ACC_NAMER_000479,CUST_NAMER_000479,BR_NAMER_0079,2026-06-29,1732903.25,1928039.03,1449223.33,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000032,ACC_NAMER_000858,CUST_NAMER_000858,BR_NAMER_0058,2026-06-23,5097671.62,5054436.03,4407021.0,USD,NAMER,2026-06-23,2026-06-24,cash_20260630
CASHPOS_0000033,ACC_NAMER_000878,CUST_NAMER_000878,BR_NAMER_0078,2026-06-19,4796313.01,4342200.06,3248081.32,USD,NAMER,2026-06-19,2026-06-20,cash_20260630
CASHPOS_0000034,ACC_NAMER_000423,CUST_NAMER_000423,BR_NAMER_0023,2026-06-20,282282.47,310473.96,242596.28,USD,NAMER,2026-06-20,2026-06-21,cash_20260630
CASHPOS_0000035,ACC_NAMER_001333,CUST_NAMER_001333,BR_NAMER_0133,2026-06-14,5149487.12,5659802.49,4442429.17,USD,NAMER,2026-06-14,2026-06-15,cash_20260630
CASHPOS_0000036,ACC_NAMER_000823,CUST_NAMER_000823,BR_NAMER_0023,2026-06-11,2269078.9,2186173.68,1655713.0,USD,NAMER,2026-06-11,2026-06-12,cash_20260630
CASHPOS_0000037,ACC_NAMER_001181,CUST_NAMER_001181,BR_NAMER_0181,2026-06-01,2582898.27,2722630.15,2083390.23,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000038,ACC_NAMER_000072,CUST_NAMER_000072,BR_NAMER_0072,2026-06-18,2836769.7,2691052.18,2161020.61,USD,NAMER,2026-06-18,2026-06-19,cash_20260630
CASHPOS_0000039,ACC_NAMER_001326,CUST_NAMER_001326,BR_NAMER_0126,2026-06-26,315996.78,303769.73,289457.7,USD,NAMER,2026-06-26,2026-06-27,cash_20260630
CASHPOS_0000040,ACC_NAMER_001143,CUST_NAMER_001143,BR_NAMER_0143,2026-06-28,2124781.26,2016038.41,1765105.48,USD,NAMER,2026-06-28,2026-06-29,cash_20260630
CASHPOS_0000041,ACC_NAMER_001083,CUST_NAMER_001083,BR_NAMER_0083,2026-06-26,716917.34,798428.04,716857.65,USD,NAMER,2026-06-26,2026-06-27,cash_20260630
CASHPOS_0000042,ACC_NAMER_000728,CUST_NAMER_000728,BR_NAMER_0128,2026-06-05,2628131.56,2908947.64,2729068.65,USD,NAMER,2026-06-05,2026-06-06,cash_20260630
CASHPOS_0000043,ACC_NAMER_000732,CUST_NAMER_000732,BR_NAMER_0132,2026-06-13,3145735.16,3516900.62,3096376.83,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000044,ACC_NAMER_000549,CUST_NAMER_000549,BR_NAMER_0149,2026-06-19,1113799.39,1008184.56,857284.88,USD,NAMER,2026-06-19,2026-06-20,cash_20260630
CASHPOS_0000045,ACC_NAMER_000531,CUST_NAMER_000531,BR_NAMER_0131,2026-06-25,1882048.17,1865220.37,1556717.63,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000046,ACC_NAMER_001087,CUST_NAMER_001087,BR_NAMER_0087,2026-06-12,2271042.45,2057925.34,1740546.94,USD,NAMER,2026-06-12,2026-06-13,cash_20260630
CASHPOS_0000047,ACC_NAMER_000286,CUST_NAMER_000286,BR_NAMER_0086,2026-06-18,3216534.0,3016578.49,2305855.74,USD,NAMER,2026-06-18,2026-06-19,cash_20260630
CASHPOS_0000048,ACC_NAMER_001507,CUST_NAMER_001507,BR_NAMER_0107,2026-06-22,4547255.79,5062424.87,4501623.25,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000049,ACC_NAMER_000679,CUST_NAMER_000679,BR_NAMER_0079,2026-06-05,3371625.54,3035696.04,2477134.82,USD,NAMER,2026-06-05,2026-06-06,cash_20260630
CASHPOS_0000050,ACC_NAMER_000594,CUST_NAMER_000594,BR_NAMER_0194,2026-06-14,218432.14,202695.38,176198.17,USD,NAMER,2026-06-14,2026-06-15,cash_20260630
CASHPOS_0000051,ACC_NAMER_000750,CUST_NAMER_000750,BR_NAMER_0150,2026-06-22,1970238.11,1737071.75,1685937.16,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000052,ACC_NAMER_000895,CUST_NAMER_000895,BR_NAMER_0095,2026-06-09,2134006.28,2089766.08,1900220.13,USD,NAMER,2026-06-09,2026-06-10,cash_20260630
CASHPOS_0000053,ACC_NAMER_000230,CUST_NAMER_000230,BR_NAMER_0030,2026-06-03,1495200.25,1599157.13,1156969.44,USD,NAMER,2026-06-03,2026-06-04,cash_20260630
CASHPOS_0000054,ACC_NAMER_000693,CUST_NAMER_000693,BR_NAMER_0093,2026-06-26,2964562.14,2901008.19,2125853.51,USD,NAMER,2026-06-26,2026-06-27,cash_20260630
CASHPOS_0000055,ACC_NAMER_001319,CUST_NAMER_001319,BR_NAMER_0119,2026-06-18,3586154.73,3248611.59,2600840.59,USD,NAMER,2026-06-18,2026-06-19,cash_20260630
CASHPOS_0000056,ACC_NAMER_000554,CUST_NAMER_000554,BR_NAMER_0154,2026-06-13,856167.81,764308.36,704144.57,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000057,ACC_NAMER_000460,CUST_NAMER_000460,BR_NAMER_0060,2026-06-19,4622058.88,4627657.59,4527646.06,USD,NAMER,2026-06-19,2026-06-20,cash_20260630
CASHPOS_0000058,ACC_NAMER_000835,CUST_NAMER_000835,BR_NAMER_0035,2026-06-13,4326054.48,3898627.25,3227570.84,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000059,ACC_NAMER_000788,CUST_NAMER_000788,BR_NAMER_0188,2026-06-12,691205.23,632953.34,452941.58,USD,NAMER,2026-06-12,2026-06-13,cash_20260630
CASHPOS_0000060,ACC_NAMER_001526,CUST_NAMER_001526,BR_NAMER_0126,2026-06-14,2358149.08,2503548.36,2093513.73,USD,NAMER,2026-06-14,2026-06-15,cash_20260630
CASHPOS_0000061,ACC_NAMER_001097,CUST_NAMER_001097,BR_NAMER_0097,2026-06-21,2147223.63,2328172.56,2033885.0,USD,NAMER,2026-06-21,2026-06-22,cash_20260630
CASHPOS_0000062,ACC_NAMER_000505,CUST_NAMER_000505,BR_NAMER_0105,2026-06-03,1135547.05,1208667.08,958418.28,USD,NAMER,2026-06-03,2026-06-04,cash_20260630
CASHPOS_0000063,ACC_NAMER_001576,CUST_NAMER_001576,BR_NAMER_0176,2026-06-30,1910324.09,2083501.91,1684575.89,USD,NAMER,2026-06-30,2026-07-01,cash_20260630
CASHPOS_0000064,ACC_NAMER_001599,CUST_NAMER_001599,BR_NAMER_0199,2026-06-27,2965274.78,3070458.74,2566984.33,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000065,ACC_NAMER_001124,CUST_NAMER_001124,BR_NAMER_0124,2026-06-07,2904503.9,2970777.21,2683587.11,USD,NAMER,2026-06-07,2026-06-08,cash_20260630
CASHPOS_0000066,ACC_NAMER_000621,CUST_NAMER_000621,BR_NAMER_0021,2026-06-01,4990433.69,5266143.37,5001816.46,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000067,ACC_NAMER_001208,CUST_NAMER_001208,BR_NAMER_0008,2026-06-18,5391888.91,5648529.39,4687841.34,USD,NAMER,2026-06-18,2026-06-19,cash_20260630
CASHPOS_0000068,ACC_NAMER_000104,CUST_NAMER_000104,BR_NAMER_0104,2026-06-16,3704991.06,4022795.81,3066340.01,USD,NAMER,2026-06-16,2026-06-17,cash_20260630
CASHPOS_0000069,ACC_NAMER_000307,CUST_NAMER_000307,BR_NAMER_0107,2026-06-26,2305633.15,2267327.4,2041974.8,USD,NAMER,2026-06-26,2026-06-27,cash_20260630
CASHPOS_0000070,ACC_NAMER_001351,CUST_NAMER_001351,BR_NAMER_0151,2026-06-14,2698440.5,2896183.62,2048684.09,USD,NAMER,2026-06-14,2026-06-15,cash_20260630
CASHPOS_0000071,ACC_NAMER_000909,CUST_NAMER_000909,BR_NAMER_0109,2026-06-04,1246830.85,1310272.04,1117748.92,USD,NAMER,2026-06-04,2026-06-05,cash_20260630
CASHPOS_0000072,ACC_NAMER_000649,CUST_NAMER_000649,BR_NAMER_0049,2026-06-22,5431949.64,6067686.9,4249168.28,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000073,ACC_NAMER_001355,CUST_NAMER_001355,BR_NAMER_0155,2026-06-27,2748529.33,2529253.22,1810968.68,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000074,ACC_NAMER_001555,CUST_NAMER_001555,BR_NAMER_0155,2026-06-22,1816811.67,1969368.71,1852880.6,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000075,ACC_NAMER_000335,CUST_NAMER_000335,BR_NAMER_0135,2026-06-29,1003928.8,946812.13,817319.85,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000076,ACC_NAMER_000306,CUST_NAMER_000306,BR_NAMER_0106,2026-06-05,4727389.11,4167780.33,3864837.81,USD,NAMER,2026-06-05,2026-06-06,cash_20260630
CASHPOS_0000077,ACC_NAMER_000587,CUST_NAMER_000587,BR_NAMER_0187,2026-06-25,4097521.63,4483025.5,4092777.15,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000078,ACC_NAMER_001071,CUST_NAMER_001071,BR_NAMER_0071,2026-06-07,5261661.74,5100347.12,4730514.29,USD,NAMER,2026-06-07,2026-06-08,cash_20260630
CASHPOS_0000079,ACC_NAMER_000116,CUST_NAMER_000116,BR_NAMER_0116,2026-06-26,2089574.3,2312440.68,1671600.07,USD,NAMER,2026-06-26,2026-06-27,cash_20260630
CASHPOS_0000080,ACC_NAMER_000439,CUST_NAMER_000439,BR_NAMER_0039,2026-06-17,1087970.02,1105020.18,983353.06,USD,NAMER,2026-06-17,2026-06-18,cash_20260630
CASHPOS_0000081,ACC_NAMER_000158,CUST_NAMER_000158,BR_NAMER_0158,2026-06-11,5254959.01,5387130.32,4871820.08,USD,NAMER,2026-06-11,2026-06-12,cash_20260630
CASHPOS_0000082,ACC_NAMER_000092,CUST_NAMER_000092,BR_NAMER_0092,2026-06-19,1465436.03,1437717.52,1388843.18,USD,NAMER,2026-06-19,2026-06-20,cash_20260630
CASHPOS_0000083,ACC_NAMER_000029,CUST_NAMER_000029,BR_NAMER_0029,2026-06-11,552122.04,557393.42,542235.45,USD,NAMER,2026-06-11,2026-06-12,cash_20260630
CASHPOS_0000084,ACC_NAMER_000535,CUST_NAMER_000535,BR_NAMER_0135,2026-06-30,4541942.41,4606810.93,4306742.63,USD,NAMER,2026-06-30,2026-07-01,cash_20260630
CASHPOS_0000085,ACC_NAMER_001169,CUST_NAMER_001169,BR_NAMER_0169,2026-06-25,2287284.66,2087609.02,2037301.63,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000086,ACC_NAMER_000852,CUST_NAMER_000852,BR_NAMER_0052,2026-06-04,4924172.67,5245503.88,3858685.73,USD,NAMER,2026-06-04,2026-06-05,cash_20260630
CASHPOS_0000087,ACC_NAMER_000354,CUST_NAMER_000354,BR_NAMER_0154,2026-06-09,4451597.7,4726291.68,4137966.43,USD,NAMER,2026-06-09,2026-06-10,cash_20260630
CASHPOS_0000088,ACC_NAMER_000301,CUST_NAMER_000301,BR_NAMER_0101,2026-06-27,4415403.39,3948167.61,3570449.98,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000089,ACC_NAMER_000892,CUST_NAMER_000892,BR_NAMER_0092,2026-06-07,1518721.8,1537713.07,1433273.49,USD,NAMER,2026-06-07,2026-06-08,cash_20260630
CASHPOS_0000090,ACC_NAMER_001130,CUST_NAMER_001130,BR_NAMER_0130,2026-06-25,1899609.44,1850162.7,1346941.72,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000091,ACC_NAMER_000063,CUST_NAMER_000063,BR_NAMER_0063,2026-06-09,5368191.69,5239790.08,3802056.47,USD,NAMER,2026-06-09,2026-06-10,cash_20260630
CASHPOS_0000092,ACC_NAMER_001479,CUST_NAMER_001479,BR_NAMER_0079,2026-06-13,4637969.63,4403943.16,3141367.58,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000093,ACC_NAMER_001449,CUST_NAMER_001449,BR_NAMER_0049,2026-06-18,801634.12,776814.42,672478.02,USD,NAMER,2026-06-18,2026-06-19,cash_20260630
CASHPOS_0000094,ACC_NAMER_000678,CUST_NAMER_000678,BR_NAMER_0078,2026-06-05,2333890.77,2172389.98,2126322.37,USD,NAMER,2026-06-05,2026-06-06,cash_20260630
CASHPOS_0000095,ACC_NAMER_001294,CUST_NAMER_001294,BR_NAMER_0094,2026-06-08,1610987.27,1546338.06,1235824.17,USD,NAMER,2026-06-08,2026-06-09,cash_20260630
CASHPOS_0000096,ACC_NAMER_000828,CUST_NAMER_000828,BR_NAMER_0028,2026-06-19,4158202.29,4280377.65,3568497.86,USD,NAMER,2026-06-19,2026-06-20,cash_20260630
CASHPOS_0000097,ACC_NAMER_001584,CUST_NAMER_001584,BR_NAMER_0184,2026-06-26,4801205.68,5299166.09,3955019.53,USD,NAMER,2026-06-26,2026-06-27,cash_20260630
CASHPOS_0000098,ACC_NAMER_000824,CUST_NAMER_000824,BR_NAMER_0024,2026-06-25,3342121.63,3022289.71,2438628.38,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000099,ACC_NAMER_001049,CUST_NAMER_001049,BR_NAMER_0049,2026-06-10,946248.95,875694.01,647132.47,USD,NAMER,2026-06-10,2026-06-11,cash_20260630
CASHPOS_0000100,ACC_NAMER_001120,CUST_NAMER_001120,BR_NAMER_0120,2026-06-28,5182044.69,5650502.02,5529934.16,USD,NAMER,2026-06-28,2026-06-29,cash_20260630
CASHPOS_0000101,ACC_NAMER_000073,CUST_NAMER_000073,BR_NAMER_0073,2026-06-17,449621.81,411672.08,369685.89,USD,NAMER,2026-06-17,2026-06-18,cash_20260630
CASHPOS_0000102,ACC_NAMER_000656,CUST_NAMER_000656,BR_NAMER_0056,2026-06-09,3624572.75,3661712.15,2978582.91,USD,NAMER,2026-06-09,2026-06-10,cash_20260630
CASHPOS_0000103,ACC_NAMER_001575,CUST_NAMER_001575,BR_NAMER_0175,2026-06-21,2511299.02,2598563.25,2119553.71,USD,NAMER,2026-06-21,2026-06-22,cash_20260630
CASHPOS_0000104,ACC_NAMER_001510,CUST_NAMER_001510,BR_NAMER_0110,2026-06-29,3942781.58,4195828.5,3873396.51,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000105,ACC_NAMER_001516,CUST_NAMER_001516,BR_NAMER_0116,2026-06-02,5496133.35,5616633.85,4494048.77,USD,NAMER,2026-06-02,2026-06-03,cash_20260630
CASHPOS_0000106,ACC_NAMER_001581,CUST_NAMER_001581,BR_NAMER_0181,2026-06-28,3919644.94,3928318.35,3314934.25,USD,NAMER,2026-06-28,2026-06-29,cash_20260630
CASHPOS_0000107,ACC_NAMER_001322,CUST_NAMER_001322,BR_NAMER_0122,2026-06-01,2942437.51,2667772.55,2028352.35,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000108,ACC_NAMER_000923,CUST_NAMER_000923,BR_NAMER_0123,2026-06-27,3398616.39,3129052.37,2691625.97,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000109,ACC_NAMER_001211,CUST_NAMER_001211,BR_NAMER_0011,2026-06-06,5174343.46,5443973.17,4300221.13,USD,NAMER,2026-06-06,2026-06-07,cash_20260630
CASHPOS_0000110,ACC_NAMER_001148,CUST_NAMER_001148,BR_NAMER_0148,2026-06-16,1432473.9,1321561.2,1074047.38,USD,NAMER,2026-06-16,2026-06-17,cash_20260630
CASHPOS_0000111,ACC_NAMER_000903,CUST_NAMER_000903,BR_NAMER_0103,2026-06-25,4547206.75,4020305.85,2984616.77,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000112,ACC_NAMER_001472,CUST_NAMER_001472,BR_NAMER_0072,2026-06-08,5253532.75,5760372.55,4983061.54,USD,NAMER,2026-06-08,2026-06-09,cash_20260630
CASHPOS_0000113,ACC_NAMER_000041,CUST_NAMER_000041,BR_NAMER_0041,2026-06-01,778695.02,855237.3,701863.51,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000114,ACC_NAMER_001318,CUST_NAMER_001318,BR_NAMER_0118,2026-06-01,4515705.99,4317553.67,3065441.64,USD,NAMER,2026-06-01,2026-06-02,cash_20260630
CASHPOS_0000115,ACC_NAMER_000085,CUST_NAMER_000085,BR_NAMER_0085,2026-06-22,2231254.82,2469392.8,2344804.37,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000116,ACC_NAMER_000230,CUST_NAMER_000230,BR_NAMER_0030,2026-06-28,1246520.42,1280962.44,898039.87,USD,NAMER,2026-06-28,2026-06-29,cash_20260630
CASHPOS_0000117,ACC_NAMER_001210,CUST_NAMER_001210,BR_NAMER_0010,2026-06-17,2530123.78,2628162.78,1970171.2,USD,NAMER,2026-06-17,2026-06-18,cash_20260630
CASHPOS_0000118,ACC_NAMER_001483,CUST_NAMER_001483,BR_NAMER_0083,2026-06-14,301224.14,271526.95,250352.38,USD,NAMER,2026-06-14,2026-06-15,cash_20260630
CASHPOS_0000119,ACC_NAMER_000639,CUST_NAMER_000639,BR_NAMER_0039,2026-06-20,2183437.2,2406039.59,1709577.06,USD,NAMER,2026-06-20,2026-06-21,cash_20260630
CASHPOS_0000120,ACC_NAMER_001443,CUST_NAMER_001443,BR_NAMER_0043,2026-06-13,3575760.26,3193012.28,2959638.3,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000121,ACC_NAMER_000141,CUST_NAMER_000141,BR_NAMER_0141,2026-06-30,2685024.71,2671625.22,2294576.75,USD,NAMER,2026-06-30,2026-07-01,cash_20260630
CASHPOS_0000122,ACC_NAMER_000463,CUST_NAMER_000463,BR_NAMER_0063,2026-06-29,4794876.48,4898419.27,4172674.09,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000123,ACC_NAMER_000193,CUST_NAMER_000193,BR_NAMER_0193,2026-06-13,452385.55,445586.64,367494.51,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000124,ACC_NAMER_001008,CUST_NAMER_001008,BR_NAMER_0008,2026-06-03,2941255.02,2906800.37,2760073.94,USD,NAMER,2026-06-03,2026-06-04,cash_20260630
CASHPOS_0000125,ACC_NAMER_000809,CUST_NAMER_000809,BR_NAMER_0009,2026-06-02,4845069.98,5151271.57,3921117.26,USD,NAMER,2026-06-02,2026-06-03,cash_20260630
CASHPOS_0000126,ACC_NAMER_000316,CUST_NAMER_000316,BR_NAMER_0116,2026-06-04,2741763.07,2964246.23,2105111.6,USD,NAMER,2026-06-04,2026-06-05,cash_20260630
CASHPOS_0000127,ACC_NAMER_000756,CUST_NAMER_000756,BR_NAMER_0156,2026-06-27,1334284.59,1276522.87,1180555.25,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000128,ACC_NAMER_001408,CUST_NAMER_001408,BR_NAMER_0008,2026-06-25,2069493.98,2146017.8,1910728.99,USD,NAMER,2026-06-25,2026-06-26,cash_20260630
CASHPOS_0000129,ACC_NAMER_000453,CUST_NAMER_000453,BR_NAMER_0053,2026-06-13,2561603.44,2713543.24,2054321.75,USD,NAMER,2026-06-13,2026-06-14,cash_20260630
CASHPOS_0000130,ACC_NAMER_001181,CUST_NAMER_001181,BR_NAMER_0181,2026-06-17,448179.13,404768.75,296679.5,USD,NAMER,2026-06-17,2026-06-18,cash_20260630
CASHPOS_0000131,ACC_NAMER_001068,CUST_NAMER_001068,BR_NAMER_0068,2026-06-07,1981952.46,2165796.65,2046390.68,USD,NAMER,2026-06-07,2026-06-08,cash_20260630
CASHPOS_0000132,ACC_NAMER_001111,CUST_NAMER_001111,BR_NAMER_0111,2026-06-03,2566687.4,2787923.67,2258237.46,USD,NAMER,2026-06-03,2026-06-04,cash_20260630
CASHPOS_0000133,ACC_NAMER_000840,CUST_NAMER_000840,BR_NAMER_0040,2026-06-03,2706496.34,2438488.32,1898648.18,USD,NAMER,2026-06-03,2026-06-04,cash_20260630
CASHPOS_0000134,ACC_NAMER_000814,CUST_NAMER_000814,BR_NAMER_0014,2026-06-22,4189517.27,4313717.34,3789443.64,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000135,ACC_NAMER_000043,CUST_NAMER_000043,BR_NAMER_0043,2026-06-07,2962812.02,2902806.52,2541960.2,USD,NAMER,2026-06-07,2026-06-08,cash_20260630
CASHPOS_0000136,ACC_NAMER_000902,CUST_NAMER_000902,BR_NAMER_0102,2026-06-27,5276518.54,5332946.95,4560009.72,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
CASHPOS_0000137,ACC_NAMER_000373,CUST_NAMER_000373,BR_NAMER_0173,2026-06-20,3166670.12,3478664.02,2927374.32,USD,NAMER,2026-06-20,2026-06-21,cash_20260630
CASHPOS_0000138,ACC_NAMER_001327,CUST_NAMER_001327,BR_NAMER_0127,2026-06-11,799724.4,747777.52,731696.07,USD,NAMER,2026-06-11,2026-06-12,cash_20260630
CASHPOS_0000139,ACC_NAMER_000510,CUST_NAMER_000510,BR_NAMER_0110,2026-06-27,3894520.49,4128953.42,4041850.74,USD,NAMER,2026-06-27,2026-06-28,cash_20260630
