fx_rate_id,currency_code,region_code,fx_rate_to_usd,fx_rate_from_usd,as_of_timestamp,start_date,end_date,baseline
FX_NAMER_000035,USD,NAMER,0.984113,1.016143,2026-06-30 15:47:34,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000036,USD,NAMER,0.989509,1.010602,2026-06-30 09:40:32,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000037,USD,NAMER,0.998508,1.001494,2026-06-30 03:47:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000038,USD,NAMER,0.989416,1.010697,2026-06-30 17:45:45,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000039,USD,NAMER,0.999419,1.000581,2026-06-30 20:24:48,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000040,USD,NAMER,1.002972,0.997037,2026-06-30 22:05:13,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000041,USD,NAMER,1.015293,0.984937,2026-06-30 20:35:36,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000042,USD,NAMER,1.008013,0.992051,2026-06-30 13:40:59,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000043,USD,NAMER,0.976045,1.024543,2026-06-30 22:05:11,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000044,USD,NAMER,0.988656,1.011474,2026-06-30 18:53:42,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000045,USD,NAMER,0.989558,1.010552,2026-06-30 13:55:46,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000046,USD,NAMER,1.0098,0.990295,2026-06-30 01:31:58,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000047,USD,NAMER,0.985195,1.015027,2026-06-30 21:54:21,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000048,USD,NAMER,0.988944,1.01118,2026-06-30 03:55:29,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000049,USD,NAMER,0.977078,1.02346,2026-06-30 21:29:37,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000050,USD,NAMER,1.039054,0.962414,2026-06-30 23:23:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000051,USD,NAMER,1.00494,0.995084,2026-06-30 03:35:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000052,USD,NAMER,0.975738,1.024865,2026-06-30 20:57:28,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000053,USD,NAMER,0.997635,1.002371,2026-06-30 03:27:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000054,USD,NAMER,0.980247,1.020151,2026-06-30 04:16:37,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000055,USD,NAMER,0.999898,1.000102,2026-06-30 08:41:15,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000056,USD,NAMER,0.992393,1.007665,2026-06-30 13:07:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000057,USD,NAMER,0.970846,1.030029,2026-06-30 21:07:17,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000058,USD,NAMER,1.004773,0.99525,2026-06-30 21:59:02,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000059,USD,NAMER,1.016638,0.983634,2026-06-30 15:21:30,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000060,USD,NAMER,1.025777,0.974871,2026-06-30 14:20:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000061,USD,NAMER,1.005351,0.994677,2026-06-30 01:27:05,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000062,USD,NAMER,0.979698,1.020723,2026-06-30 12:38:41,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000063,USD,NAMER,0.988105,1.012038,2026-06-30 23:33:35,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000064,USD,NAMER,1.094763,0.91344,2026-06-30 16:01:43,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000065,USD,NAMER,0.973983,1.026712,2026-06-30 16:46:30,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000066,USD,NAMER,0.981395,1.018958,2026-06-30 20:52:29,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000067,USD,NAMER,1.004708,0.995314,2026-06-30 19:01:59,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000068,USD,NAMER,1.022485,0.978009,2026-06-30 01:21:25,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000069,USD,NAMER,0.991057,1.009024,2026-06-30 14:30:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000070,USD,NAMER,1.010965,0.989154,2026-06-30 22:52:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000071,USD,NAMER,1.010556,0.989554,2026-06-30 15:43:16,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000072,USD,NAMER,0.991683,1.008387,2026-06-30 00:56:00,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000073,USD,NAMER,1.007962,0.992101,2026-06-30 07:51:56,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000074,USD,NAMER,1.015421,0.984813,2026-06-30 20:38:28,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000075,USD,NAMER,0.995364,1.004658,2026-06-30 06:34:49,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000076,USD,NAMER,1.000422,0.999578,2026-06-30 00:52:44,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000077,USD,NAMER,1.014307,0.985895,2026-06-30 22:57:23,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000078,USD,NAMER,1.002637,0.99737,2026-06-30 11:58:37,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000079,USD,NAMER,1.01214,0.988006,2026-06-30 03:35:50,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000080,USD,NAMER,0.992338,1.007721,2026-06-30 10:38:29,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000081,USD,NAMER,0.972479,1.0283,2026-06-30 15:00:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000082,USD,NAMER,0.985777,1.014428,2026-06-30 01:01:59,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000083,USD,NAMER,1.008855,0.991223,2026-06-30 16:37:30,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000084,USD,NAMER,1.002478,0.997528,2026-06-30 09:13:48,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000085,USD,NAMER,0.988483,1.011651,2026-06-30 13:03:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000086,USD,NAMER,1.032755,0.968284,2026-06-30 12:31:35,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000087,USD,NAMER,0.992493,1.007564,2026-06-30 12:49:46,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000088,USD,NAMER,1.002977,0.997032,2026-06-30 09:03:17,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000089,USD,NAMER,0.988735,1.011393,2026-06-30 10:04:18,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000090,USD,NAMER,1.038852,0.962601,2026-06-30 16:14:19,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000091,USD,NAMER,0.9804,1.019992,2026-06-30 01:44:25,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000092,USD,NAMER,0.997706,1.002299,2026-06-30 11:48:54,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000093,USD,NAMER,0.99081,1.009275,2026-06-30 16:40:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000094,USD,NAMER,0.964825,1.036457,2026-06-30 23:06:45,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000095,USD,NAMER,0.996184,1.003831,2026-06-30 09:34:54,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000096,USD,NAMER,0.993169,1.006878,2026-06-30 05:50:49,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000097,USD,NAMER,0.986628,1.013553,2026-06-30 07:37:23,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000098,USD,NAMER,0.969852,1.031085,2026-06-30 20:20:00,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000099,USD,NAMER,0.982003,1.018327,2026-06-30 19:55:32,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000100,USD,NAMER,1.011097,0.989025,2026-06-30 23:36:12,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000101,USD,NAMER,1.004043,0.995973,2026-06-30 11:43:09,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000102,USD,NAMER,0.999588,1.000412,2026-06-30 14:36:41,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000103,USD,NAMER,0.986677,1.013503,2026-06-30 12:41:23,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000104,USD,NAMER,0.976354,1.024219,2026-06-30 06:15:51,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000105,USD,NAMER,0.993098,1.00695,2026-06-30 18:11:54,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000106,USD,NAMER,1.005948,0.994087,2026-06-30 03:14:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000107,USD,NAMER,1.013695,0.98649,2026-06-30 12:09:07,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000108,USD,NAMER,1.012902,0.987262,2026-06-30 12:48:31,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000109,USD,NAMER,1.017783,0.982528,2026-06-30 22:26:33,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000110,USD,NAMER,1.012211,0.987936,2026-06-30 19:35:47,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000111,USD,NAMER,0.998455,1.001547,2026-06-30 08:17:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000112,USD,NAMER,1.010027,0.990073,2026-06-30 11:31:28,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000113,USD,NAMER,0.993275,1.006771,2026-06-30 11:08:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000114,USD,NAMER,0.99675,1.003261,2026-06-30 03:41:17,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000115,USD,NAMER,0.967921,1.033142,2026-06-30 03:17:33,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000116,USD,NAMER,1.002055,0.997949,2026-06-30 23:16:54,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000117,USD,NAMER,0.999755,1.000245,2026-06-30 14:47:03,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000118,USD,NAMER,1.028806,0.972001,2026-06-30 11:23:35,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000119,USD,NAMER,1.028845,0.971964,2026-06-30 22:38:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000120,USD,NAMER,0.994899,1.005127,2026-06-30 18:06:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000121,USD,NAMER,0.992542,1.007514,2026-06-30 23:16:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000122,USD,NAMER,1.019169,0.981192,2026-06-30 06:46:44,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000123,USD,NAMER,1.009097,0.990985,2026-06-30 13:56:00,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000124,USD,NAMER,0.989858,1.010246,2026-06-30 07:21:36,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000125,USD,NAMER,1.011359,0.988769,2026-06-30 09:38:12,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000126,USD,NAMER,0.989622,1.010487,2026-06-30 17:40:27,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000127,USD,NAMER,0.993066,1.006982,2026-06-30 12:45:53,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000128,USD,NAMER,1.009988,0.990111,2026-06-30 12:16:11,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000129,USD,NAMER,0.976699,1.023857,2026-06-30 15:56:19,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000130,USD,NAMER,1.005776,0.994257,2026-06-30 13:09:37,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000131,USD,NAMER,1.011021,0.989099,2026-06-30 05:47:48,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000132,USD,NAMER,1.009538,0.990552,2026-06-30 06:08:11,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000133,USD,NAMER,0.983104,1.017186,2026-06-30 11:45:04,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000134,USD,NAMER,1.017538,0.982764,2026-06-30 00:34:47,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000135,USD,NAMER,1.003198,0.996812,2026-06-30 04:03:31,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000136,USD,NAMER,1.001032,0.998969,2026-06-30 06:54:36,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000137,USD,NAMER,1.002384,0.997622,2026-06-30 21:11:03,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000138,USD,NAMER,1.014967,0.985254,2026-06-30 11:18:21,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000139,USD,NAMER,1.029998,0.970876,2026-06-30 18:25:38,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000140,USD,NAMER,0.986928,1.013245,2026-06-30 23:23:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000141,USD,NAMER,1.009149,0.990934,2026-06-30 20:24:23,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000142,USD,NAMER,1.015244,0.984985,2026-06-30 10:47:04,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000143,USD,NAMER,1.007216,0.992836,2026-06-30 20:23:09,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000144,USD,NAMER,1.005513,0.994517,2026-06-30 19:35:50,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000145,USD,NAMER,0.998882,1.001119,2026-06-30 06:28:38,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000146,USD,NAMER,1.006113,0.993924,2026-06-30 14:29:22,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000147,USD,NAMER,1.019888,0.9805,2026-06-30 22:31:04,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000148,USD,NAMER,0.99164,1.00843,2026-06-30 02:45:52,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000149,USD,NAMER,0.993216,1.00683,2026-06-30 07:13:53,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000150,USD,NAMER,0.925018,1.08106,2026-06-30 03:23:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000151,USD,NAMER,1.005708,0.994324,2026-06-30 03:17:47,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000152,USD,NAMER,1.007045,0.993004,2026-06-30 21:46:17,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000153,USD,NAMER,0.990303,1.009792,2026-06-30 14:43:56,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000154,USD,NAMER,1.00717,0.992881,2026-06-30 09:35:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000155,USD,NAMER,0.999668,1.000332,2026-06-30 05:18:25,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000156,USD,NAMER,0.99336,1.006684,2026-06-30 12:23:05,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000157,USD,NAMER,0.989452,1.01066,2026-06-30 19:23:58,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000158,USD,NAMER,0.988034,1.012111,2026-06-30 12:52:53,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000159,USD,NAMER,1.00934,0.990746,2026-06-30 14:26:43,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000160,USD,NAMER,1.009602,0.990489,2026-06-30 04:50:36,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000161,USD,NAMER,0.993087,1.006961,2026-06-30 14:01:34,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000162,USD,NAMER,0.996396,1.003617,2026-06-30 03:46:22,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000163,USD,NAMER,1.005998,0.994038,2026-06-30 10:42:03,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000164,USD,NAMER,0.990359,1.009735,2026-06-30 22:20:02,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000165,USD,NAMER,1.000657,0.999343,2026-06-30 20:45:25,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000166,USD,NAMER,1.006049,0.993987,2026-06-30 02:59:35,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000167,USD,NAMER,0.967558,1.03353,2026-06-30 11:47:25,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000168,USD,NAMER,1.000038,0.999962,2026-06-30 08:11:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000169,USD,NAMER,1.028386,0.972398,2026-06-30 16:06:44,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000170,USD,NAMER,0.98492,1.015311,2026-06-30 01:29:04,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000171,USD,NAMER,0.998052,1.001952,2026-06-30 08:57:11,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000172,USD,NAMER,1.014489,0.985718,2026-06-30 19:57:05,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000173,USD,NAMER,0.990006,1.010095,2026-06-30 05:38:37,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000174,USD,NAMER,1.011909,0.988231,2026-06-30 09:58:05,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000175,USD,NAMER,1.019055,0.981301,2026-06-30 00:57:34,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000176,USD,NAMER,0.992566,1.00749,2026-06-30 18:00:14,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000177,USD,NAMER,0.997071,1.002938,2026-06-30 08:10:21,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000178,USD,NAMER,0.995717,1.004301,2026-06-30 07:58:21,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000179,USD,NAMER,0.982061,1.018267,2026-06-30 08:55:58,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000180,USD,NAMER,1.037021,0.964301,2026-06-30 08:13:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000181,USD,NAMER,0.988858,1.011268,2026-06-30 16:01:58,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000182,USD,NAMER,1.006345,0.993695,2026-06-30 23:35:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000183,USD,NAMER,1.062492,0.941184,2026-06-30 07:51:47,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000184,USD,NAMER,0.994451,1.00558,2026-06-30 05:17:34,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000185,USD,NAMER,1.022522,0.977974,2026-06-30 00:27:07,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000186,USD,NAMER,0.96071,1.040897,2026-06-30 10:48:21,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000187,USD,NAMER,1.009219,0.990865,2026-06-30 08:52:19,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000188,USD,NAMER,0.977379,1.023145,2026-06-30 00:45:22,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000189,USD,NAMER,1.030235,0.970652,2026-06-30 22:17:24,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000190,USD,NAMER,0.995297,1.004725,2026-06-30 17:35:43,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000191,USD,NAMER,1.024477,0.976108,2026-06-30 15:58:54,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000192,USD,NAMER,0.982292,1.018027,2026-06-30 15:05:32,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000193,USD,NAMER,0.959304,1.042422,2026-06-30 20:15:18,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000194,USD,NAMER,1.003407,0.996605,2026-06-30 20:04:10,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000195,USD,NAMER,0.987869,1.01228,2026-06-30 20:41:00,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000196,USD,NAMER,0.979448,1.020983,2026-06-30 06:59:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000197,USD,NAMER,0.964845,1.036436,2026-06-30 15:00:44,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000198,USD,NAMER,1.004233,0.995785,2026-06-30 06:46:26,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000199,USD,NAMER,1.01197,0.988172,2026-06-30 18:52:50,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000200,USD,NAMER,0.998881,1.00112,2026-06-30 21:08:59,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000201,USD,NAMER,0.973046,1.027701,2026-06-30 14:32:58,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000202,USD,NAMER,0.995559,1.004461,2026-06-30 22:50:15,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000203,USD,NAMER,0.99,1.010101,2026-06-30 20:57:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000204,USD,NAMER,0.996574,1.003438,2026-06-30 14:05:38,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000205,USD,NAMER,1.002377,0.997629,2026-06-30 09:31:14,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000206,USD,NAMER,0.991755,1.008314,2026-06-30 13:15:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000207,USD,NAMER,0.978142,1.022346,2026-06-30 09:35:44,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000208,USD,NAMER,0.996711,1.0033,2026-06-30 15:42:13,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000209,USD,NAMER,0.993869,1.006169,2026-06-30 13:28:46,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000210,USD,NAMER,0.994263,1.00577,2026-06-30 13:16:17,2026-06-10,2099-12-31,fx_rates_20260630
