loan_id,customer_id,account_id,branch_id,loan_start_date,loan_amount,outstanding_balance,interest_rate,currency_code,region_code,start_date,end_date,baseline,loan_type
LOAN_NAMER_000592,CUST_NAMER_000592,ACC_NAMER_000592,BR_NAMER_0192,2025-06-13,1784738.82,988523.83,10.52,USD,NAMER,2025-06-13,2026-11-17,loan_20260629,SME
LOAN_NAMER_001274,CUST_NAMER_001274,ACC_NAMER_001274,BR_NAMER_0074,2025-12-15,1432594.42,248577.42,8.75,USD,NAMER,2025-12-15,2026-12-24,loan_20260629,SME
LOAN_NAMER_000555,CUST_NAMER_000555,ACC_NAMER_000555,BR_NAMER_0155,2025-06-09,1451538.19,1138535.57,11.86,USD,NAMER,2025-06-09,2026-04-15,loan_20260629,SME
LOAN_NAMER_001062,CUST_NAMER_001062,ACC_NAMER_001062,BR_NAMER_0062,2025-12-11,22312517.03,9757728.33,6.0,USD,NAMER,2025-12-11,2026-06-23,loan_20260629,Mega Corporate
LOAN_NAMER_000530,CUST_NAMER_000530,ACC_NAMER_000530,BR_NAMER_0130,2025-04-05,1918556.21,649687.74,13.31,USD,NAMER,2025-04-05,2026-07-28,loan_20260629,SME
LOAN_NAMER_001720,CUST_NAMER_000120,ACC_NAMER_000120,BR_NAMER_0120,2025-04-10,1459636.55,957568.91,8.47,USD,NAMER,2025-04-10,2026-07-11,loan_20260629,SME
LOAN_NAMER_000722,CUST_NAMER_000722,ACC_NAMER_000722,BR_NAMER_0122,2025-12-19,1089541.1,223689.57,9.25,USD,NAMER,2025-12-19,2027-11-27,loan_20260629,SME
LOAN_NAMER_000562,CUST_NAMER_000562,ACC_NAMER_000562,BR_NAMER_0162,2025-09-28,260130.48,162408.49,10.95,USD,NAMER,2025-09-28,2026-02-09,loan_20260629,Retail
LOAN_NAMER_000539,CUST_NAMER_000539,ACC_NAMER_000539,BR_NAMER_0139,2026-04-16,466712.56,313490.17,7.75,USD,NAMER,2026-04-16,2028-01-15,loan_20260629,SME
LOAN_NAMER_001254,CUST_NAMER_001254,ACC_NAMER_001254,BR_NAMER_0054,2025-05-08,488425.07,76792.3,11.06,USD,NAMER,2025-05-08,2026-08-28,loan_20260629,Retail
LOAN_NAMER_000496,CUST_NAMER_000496,ACC_NAMER_000496,BR_NAMER_0096,2025-03-22,1057453.16,359134.66,6.82,USD,NAMER,2025-03-22,2027-01-06,loan_20260629,SME
LOAN_NAMER_000651,CUST_NAMER_000651,ACC_NAMER_000651,BR_NAMER_0051,2025-10-28,5575605.69,2312267.75,9.39,USD,NAMER,2025-10-28,2027-01-31,loan_20260629,Corporate
LOAN_NAMER_000716,CUST_NAMER_000716,ACC_NAMER_000716,BR_NAMER_0116,2025-07-16,565682.87,288242.05,11.05,USD,NAMER,2025-07-16,2025-12-24,loan_20260629,SME
LOAN_NAMER_000531,CUST_NAMER_000531,ACC_NAMER_000531,BR_NAMER_0131,2025-02-16,3665480.04,1603283.16,8.55,USD,NAMER,2025-02-16,2026-01-05,loan_20260629,Corporate
LOAN_NAMER_001574,CUST_NAMER_001574,ACC_NAMER_001574,BR_NAMER_0174,2025-10-24,979194.82,564808.91,13.38,USD,NAMER,2025-10-24,2026-04-13,loan_20260629,SME
LOAN_NAMER_001583,CUST_NAMER_001583,ACC_NAMER_001583,BR_NAMER_0183,2025-08-27,1154882.55,971686.93,10.7,USD,NAMER,2025-08-27,2026-03-08,loan_20260629,SME
LOAN_NAMER_001724,CUST_NAMER_000124,ACC_NAMER_000124,BR_NAMER_0124,2026-01-25,347008.02,325963.5,5.48,USD,NAMER,2026-01-25,2027-02-03,loan_20260629,SME
LOAN_NAMER_001299,CUST_NAMER_001299,ACC_NAMER_001299,BR_NAMER_0099,2026-04-10,82055.21,54320.74,6.7,USD,NAMER,2026-04-10,2027-07-17,loan_20260629,Retail
LOAN_NAMER_000472,CUST_NAMER_000472,ACC_NAMER_000472,BR_NAMER_0072,2025-06-16,100632.01,23411.75,11.02,USD,NAMER,2025-06-16,2026-09-28,loan_20260629,Retail
LOAN_NAMER_001345,CUST_NAMER_001345,ACC_NAMER_001345,BR_NAMER_0145,2025-12-30,1058862.82,565345.56,12.23,USD,NAMER,2025-12-30,2026-10-30,loan_20260629,SME
LOAN_NAMER_000290,CUST_NAMER_000290,ACC_NAMER_000290,BR_NAMER_0090,2025-10-01,218857.85,203204.74,10.96,USD,NAMER,2025-10-01,2026-03-13,loan_20260629,Retail
LOAN_NAMER_001562,CUST_NAMER_001562,ACC_NAMER_001562,BR_NAMER_0162,2025-06-25,318951.94,135274.79,10.39,USD,NAMER,2025-06-25,2027-03-23,loan_20260629,Retail
LOAN_NAMER_001634,CUST_NAMER_000034,ACC_NAMER_000034,BR_NAMER_0034,2025-09-08,122888.19,32544.96,15.28,USD,NAMER,2025-09-08,2026-05-23,loan_20260629,Retail
LOAN_NAMER_000620,CUST_NAMER_000620,ACC_NAMER_000620,BR_NAMER_0020,2026-04-19,598268.51,179886.94,12.77,USD,NAMER,2026-04-19,2027-08-10,loan_20260629,SME
LOAN_NAMER_001428,CUST_NAMER_001428,ACC_NAMER_001428,BR_NAMER_0028,2025-10-04,174218.89,160399.41,7.06,USD,NAMER,2025-10-04,2027-07-26,loan_20260629,Retail
LOAN_NAMER_000661,CUST_NAMER_000661,ACC_NAMER_000661,BR_NAMER_0061,2025-08-13,2198117.32,987916.16,4.21,USD,NAMER,2025-08-13,2026-10-09,loan_20260629,SME
LOAN_NAMER_001487,CUST_NAMER_001487,ACC_NAMER_001487,BR_NAMER_0087,2025-02-27,474762.1,399601.12,13.22,USD,NAMER,2025-02-27,2026-01-17,loan_20260629,Retail
LOAN_NAMER_001356,CUST_NAMER_001356,ACC_NAMER_001356,BR_NAMER_0156,2025-02-02,456937.23,404363.05,11.21,USD,NAMER,2025-02-02,2026-03-22,loan_20260629,Retail
LOAN_NAMER_001741,CUST_NAMER_000141,ACC_NAMER_000141,BR_NAMER_0141,2026-02-15,9454535.95,6462905.34,10.93,USD,NAMER,2026-02-15,2027-02-14,loan_20260629,Corporate
LOAN_NAMER_000353,CUST_NAMER_000353,ACC_NAMER_000353,BR_NAMER_0153,2025-03-09,136280.87,86397.05,7.82,USD,NAMER,2025-03-09,2026-01-09,loan_20260629,Retail
LOAN_NAMER_000552,CUST_NAMER_000552,ACC_NAMER_000552,BR_NAMER_0152,2025-11-19,11132836.33,8371249.55,5.09,USD,NAMER,2025-11-19,2026-09-22,loan_20260629,Corporate
LOAN_NAMER_000066,CUST_NAMER_000066,ACC_NAMER_000066,BR_NAMER_0066,2026-05-27,110991.25,74409.57,13.18,USD,NAMER,2026-05-27,2027-10-04,loan_20260629,Retail
LOAN_NAMER_001349,CUST_NAMER_001349,ACC_NAMER_001349,BR_NAMER_0149,2026-04-15,5536777.25,4823089.54,14.53,USD,NAMER,2026-04-15,2026-12-07,loan_20260629,Corporate
LOAN_NAMER_000325,CUST_NAMER_000325,ACC_NAMER_000325,BR_NAMER_0125,2025-09-29,493925.92,222532.3,7.56,USD,NAMER,2025-09-29,2026-05-19,loan_20260629,Retail
LOAN_NAMER_001135,CUST_NAMER_001135,ACC_NAMER_001135,BR_NAMER_0135,2025-09-10,923627.21,604206.44,11.32,USD,NAMER,2025-09-10,2027-07-06,loan_20260629,SME
LOAN_NAMER_001644,CUST_NAMER_000044,ACC_NAMER_000044,BR_NAMER_0044,2025-09-27,1025622.62,603886.37,11.16,USD,NAMER,2025-09-27,2027-08-16,loan_20260629,SME
LOAN_NAMER_000252,CUST_NAMER_000252,ACC_NAMER_000252,BR_NAMER_0052,2026-03-15,1151062.13,186165.47,11.04,USD,NAMER,2026-03-15,2028-01-31,loan_20260629,SME
LOAN_NAMER_001354,CUST_NAMER_001354,ACC_NAMER_001354,BR_NAMER_0154,2026-02-13,379858.29,287733.33,10.01,USD,NAMER,2026-02-13,2027-05-19,loan_20260629,Retail
LOAN_NAMER_000611,CUST_NAMER_000611,ACC_NAMER_000611,BR_NAMER_0011,2025-08-13,2144897.98,1775404.75,14.97,USD,NAMER,2025-08-13,2026-04-01,loan_20260629,SME
LOAN_NAMER_001371,CUST_NAMER_001371,ACC_NAMER_001371,BR_NAMER_0171,2026-06-06,2217896.89,597043.39,10.32,USD,NAMER,2026-06-06,2028-01-22,loan_20260629,Corporate
LOAN_NAMER_000679,CUST_NAMER_000679,ACC_NAMER_000679,BR_NAMER_0079,2025-04-04,296254.52,137904.19,10.59,USD,NAMER,2025-04-04,2025-08-20,loan_20260629,Retail
LOAN_NAMER_001337,CUST_NAMER_001337,ACC_NAMER_001337,BR_NAMER_0137,2025-04-23,1682362.18,953878.0,13.87,USD,NAMER,2025-04-23,2025-12-25,loan_20260629,SME
LOAN_NAMER_001340,CUST_NAMER_001340,ACC_NAMER_001340,BR_NAMER_0140,2025-06-13,2037560.01,421824.26,15.46,USD,NAMER,2025-06-13,2026-11-17,loan_20260629,SME
LOAN_NAMER_000030,CUST_NAMER_000030,ACC_NAMER_000030,BR_NAMER_0030,2025-03-07,1024946.04,315399.78,9.75,USD,NAMER,2025-03-07,2026-07-04,loan_20260629,SME
LOAN_NAMER_001122,CUST_NAMER_001122,ACC_NAMER_001122,BR_NAMER_0122,2026-01-26,139831.13,90034.66,10.28,USD,NAMER,2026-01-26,2027-12-27,loan_20260629,Retail
LOAN_NAMER_001710,CUST_NAMER_000110,ACC_NAMER_000110,BR_NAMER_0110,2026-04-25,2102027.52,1210364.62,10.97,USD,NAMER,2026-04-25,2028-01-16,loan_20260629,SME
LOAN_NAMER_000136,CUST_NAMER_000136,ACC_NAMER_000136,BR_NAMER_0136,2025-09-15,417688.44,196281.89,15.72,USD,NAMER,2025-09-15,2027-07-03,loan_20260629,Retail
LOAN_NAMER_000652,CUST_NAMER_000652,ACC_NAMER_000652,BR_NAMER_0052,2025-01-12,6386608.89,1587571.25,14.31,USD,NAMER,2025-01-12,2025-08-07,loan_20260629,Corporate
LOAN_NAMER_001650,CUST_NAMER_000050,ACC_NAMER_000050,BR_NAMER_0050,2025-10-01,2980618.11,1151182.17,13.52,USD,NAMER,2025-10-01,2026-12-13,loan_20260629,Corporate
LOAN_NAMER_000681,CUST_NAMER_000681,ACC_NAMER_000681,BR_NAMER_0081,2025-04-25,518547.25,253892.11,5.04,USD,NAMER,2025-04-25,2026-05-20,loan_20260629,Retail
LOAN_NAMER_001673,CUST_NAMER_000073,ACC_NAMER_000073,BR_NAMER_0073,2026-03-22,4884977.61,2790296.06,5.35,USD,NAMER,2026-03-22,2026-11-28,loan_20260629,Corporate
LOAN_NAMER_001455,CUST_NAMER_001455,ACC_NAMER_001455,BR_NAMER_0055,2026-04-10,377544.54,212232.94,11.12,USD,NAMER,2026-04-10,2026-07-12,loan_20260629,Retail
LOAN_NAMER_001494,CUST_NAMER_001494,ACC_NAMER_001494,BR_NAMER_0094,2025-09-27,7637787.61,2213574.09,8.33,USD,NAMER,2025-09-27,2027-05-22,loan_20260629,Corporate
LOAN_NAMER_001311,CUST_NAMER_001311,ACC_NAMER_001311,BR_NAMER_0111,2025-07-02,8881042.58,5286970.32,7.07,USD,NAMER,2025-07-02,2027-03-03,loan_20260629,Corporate
LOAN_NAMER_000556,CUST_NAMER_000556,ACC_NAMER_000556,BR_NAMER_0156,2025-04-19,424906.87,353071.86,12.06,USD,NAMER,2025-04-19,2026-05-19,loan_20260629,Retail
LOAN_NAMER_001596,CUST_NAMER_001596,ACC_NAMER_001596,BR_NAMER_0196,2026-06-04,8847893.84,2386835.93,9.09,USD,NAMER,2026-06-04,2028-05-17,loan_20260629,Corporate
LOAN_NAMER_000383,CUST_NAMER_000383,ACC_NAMER_000383,BR_NAMER_0183,2025-07-23,174558.73,147573.29,9.67,USD,NAMER,2025-07-23,2026-03-26,loan_20260629,Retail
LOAN_NAMER_000174,CUST_NAMER_000174,ACC_NAMER_000174,BR_NAMER_0174,2026-01-18,629754.09,251786.66,6.76,USD,NAMER,2026-01-18,2026-09-30,loan_20260629,SME
LOAN_NAMER_000110,CUST_NAMER_000110,ACC_NAMER_000110,BR_NAMER_0110,2025-01-01,377532.24,134215.38,11.58,USD,NAMER,2025-01-01,2026-12-05,loan_20260629,Retail
LOAN_NAMER_000571,CUST_NAMER_000571,ACC_NAMER_000571,BR_NAMER_0171,2025-11-28,127454.29,47111.21,11.16,USD,NAMER,2025-11-28,2027-07-11,loan_20260629,Retail
LOAN_NAMER_000536,CUST_NAMER_000536,ACC_NAMER_000536,BR_NAMER_0136,2025-01-20,1147725.25,581475.18,12.69,USD,NAMER,2025-01-20,2025-08-12,loan_20260629,SME
LOAN_NAMER_001605,CUST_NAMER_000005,ACC_NAMER_000005,BR_NAMER_0005,2026-01-07,227909.37,183459.21,11.24,USD,NAMER,2026-01-07,2027-02-15,loan_20260629,Retail
LOAN_NAMER_001028,CUST_NAMER_001028,ACC_NAMER_001028,BR_NAMER_0028,2025-09-03,512384.5,393561.6,7.18,USD,NAMER,2025-09-03,2026-01-30,loan_20260629,Retail
LOAN_NAMER_000865,CUST_NAMER_000865,ACC_NAMER_000865,BR_NAMER_0065,2025-09-04,1447671.43,681781.34,8.4,USD,NAMER,2025-09-04,2027-07-06,loan_20260629,SME
LOAN_NAMER_000240,CUST_NAMER_000240,ACC_NAMER_000240,BR_NAMER_0040,2025-03-22,367046.51,184965.0,13.98,USD,NAMER,2025-03-22,2025-09-15,loan_20260629,Retail
LOAN_NAMER_000112,CUST_NAMER_000112,ACC_NAMER_000112,BR_NAMER_0112,2026-05-13,417065.95,276153.79,7.25,USD,NAMER,2026-05-13,2026-10-20,loan_20260629,SME
LOAN_NAMER_001661,CUST_NAMER_000061,ACC_NAMER_000061,BR_NAMER_0061,2025-05-09,1613058.58,539831.59,9.48,USD,NAMER,2025-05-09,2025-12-16,loan_20260629,SME
LOAN_NAMER_000949,CUST_NAMER_000949,ACC_NAMER_000949,BR_NAMER_0149,2026-05-02,82378.79,37299.56,8.36,USD,NAMER,2026-05-02,2028-02-13,loan_20260629,Retail
LOAN_NAMER_000590,CUST_NAMER_000590,ACC_NAMER_000590,BR_NAMER_0190,2025-06-19,29956414.6,12487500.37,7.27,USD,NAMER,2025-06-19,2026-06-15,loan_20260629,Mega Corporate
LOAN_NAMER_000818,CUST_NAMER_000818,ACC_NAMER_000818,BR_NAMER_0018,2026-03-10,540679.53,355749.85,13.06,USD,NAMER,2026-03-10,2027-01-10,loan_20260629,Retail
LOAN_NAMER_000024,CUST_NAMER_000024,ACC_NAMER_000024,BR_NAMER_0024,2025-07-25,262376.84,128079.59,13.86,USD,NAMER,2025-07-25,2026-09-07,loan_20260629,Retail
LOAN_NAMER_001568,CUST_NAMER_001568,ACC_NAMER_001568,BR_NAMER_0168,2026-02-13,207629.97,194131.76,9.7,USD,NAMER,2026-02-13,2027-05-31,loan_20260629,Retail
LOAN_NAMER_001790,CUST_NAMER_000190,ACC_NAMER_000190,BR_NAMER_0190,2026-03-25,116393.82,108168.47,4.24,USD,NAMER,2026-03-25,2027-12-04,loan_20260629,Retail
LOAN_NAMER_001256,CUST_NAMER_001256,ACC_NAMER_001256,BR_NAMER_0056,2026-04-08,1786455.62,616193.87,12.06,USD,NAMER,2026-04-08,2026-11-07,loan_20260629,SME
LOAN_NAMER_000519,CUST_NAMER_000519,ACC_NAMER_000519,BR_NAMER_0119,2025-09-11,185551.82,144790.09,14.38,USD,NAMER,2025-09-11,2026-07-28,loan_20260629,Retail
LOAN_NAMER_000430,CUST_NAMER_000430,ACC_NAMER_000430,BR_NAMER_0030,2025-03-07,1273403.33,353297.12,4.76,USD,NAMER,2025-03-07,2026-05-17,loan_20260629,SME
LOAN_NAMER_000655,CUST_NAMER_000655,ACC_NAMER_000655,BR_NAMER_0055,2025-01-22,170588.08,72216.69,8.57,USD,NAMER,2025-01-22,2026-12-15,loan_20260629,Retail
LOAN_NAMER_000332,CUST_NAMER_000332,ACC_NAMER_000332,BR_NAMER_0132,2025-08-24,176483.89,98439.08,13.9,USD,NAMER,2025-08-24,2027-07-17,loan_20260629,Retail
LOAN_NAMER_000189,CUST_NAMER_000189,ACC_NAMER_000189,BR_NAMER_0189,2025-08-14,530963.06,450612.06,5.94,USD,NAMER,2025-08-14,2025-11-19,loan_20260629,Retail
LOAN_NAMER_001726,CUST_NAMER_000126,ACC_NAMER_000126,BR_NAMER_0126,2025-03-14,6911840.81,4169639.09,8.69,USD,NAMER,2025-03-14,2025-08-11,loan_20260629,Corporate
LOAN_NAMER_000384,CUST_NAMER_000384,ACC_NAMER_000384,BR_NAMER_0184,2025-08-23,1058470.4,615803.36,11.54,USD,NAMER,2025-08-23,2026-01-29,loan_20260629,SME
LOAN_NAMER_000439,CUST_NAMER_000439,ACC_NAMER_000439,BR_NAMER_0039,2025-02-02,1323663.14,962485.31,5.7,USD,NAMER,2025-02-02,2026-04-06,loan_20260629,SME
LOAN_NAMER_001776,CUST_NAMER_000176,ACC_NAMER_000176,BR_NAMER_0176,2025-03-14,468642.44,191216.6,4.27,USD,NAMER,2025-03-14,2026-11-20,loan_20260629,Retail
LOAN_NAMER_000591,CUST_NAMER_000591,ACC_NAMER_000591,BR_NAMER_0191,2025-09-01,168701.67,154506.83,10.88,USD,NAMER,2025-09-01,2026-09-11,loan_20260629,Retail
LOAN_NAMER_000211,CUST_NAMER_000211,ACC_NAMER_000211,BR_NAMER_0011,2026-05-13,6917646.57,3690450.66,7.76,USD,NAMER,2026-05-13,2027-03-18,loan_20260629,Corporate
LOAN_NAMER_000221,CUST_NAMER_000221,ACC_NAMER_000221,BR_NAMER_0021,2025-05-16,552828.13,480191.66,13.95,USD,NAMER,2025-05-16,2027-03-21,loan_20260629,SME
LOAN_NAMER_000204,CUST_NAMER_000204,ACC_NAMER_000204,BR_NAMER_0004,2026-04-30,536209.95,434416.18,12.0,USD,NAMER,2026-04-30,2027-04-03,loan_20260629,Retail
LOAN_NAMER_000440,CUST_NAMER_000440,ACC_NAMER_000440,BR_NAMER_0040,2026-04-30,297029.95,164817.77,6.79,USD,NAMER,2026-04-30,2027-09-18,loan_20260629,Retail
LOAN_NAMER_001620,CUST_NAMER_000020,ACC_NAMER_000020,BR_NAMER_0020,2025-07-14,447468.71,110805.8,11.13,USD,NAMER,2025-07-14,2026-01-16,loan_20260629,Retail
LOAN_NAMER_001518,CUST_NAMER_001518,ACC_NAMER_001518,BR_NAMER_0118,2025-04-10,9951140.34,3703835.32,14.22,USD,NAMER,2025-04-10,2026-09-23,loan_20260629,Corporate
LOAN_NAMER_001742,CUST_NAMER_000142,ACC_NAMER_000142,BR_NAMER_0142,2025-12-29,64914.66,41028.83,8.38,USD,NAMER,2025-12-29,2027-06-05,loan_20260629,Retail
LOAN_NAMER_000583,CUST_NAMER_000583,ACC_NAMER_000583,BR_NAMER_0183,2026-02-25,340478.31,103309.96,6.54,USD,NAMER,2026-02-25,2027-09-16,loan_20260629,Retail
LOAN_NAMER_001734,CUST_NAMER_000134,ACC_NAMER_000134,BR_NAMER_0134,2025-02-25,1758336.95,1135179.17,7.57,USD,NAMER,2025-02-25,2025-09-03,loan_20260629,SME
LOAN_NAMER_000484,CUST_NAMER_000484,ACC_NAMER_000484,BR_NAMER_0084,2025-03-04,614502.93,128863.63,13.39,USD,NAMER,2025-03-04,2026-07-19,loan_20260629,SME
LOAN_NAMER_001250,CUST_NAMER_001250,ACC_NAMER_001250,BR_NAMER_0050,2025-12-14,145594.26,102395.63,11.42,USD,NAMER,2025-12-14,2026-07-03,loan_20260629,Retail
LOAN_NAMER_000783,CUST_NAMER_000783,ACC_NAMER_000783,BR_NAMER_0183,2025-09-12,728633.43,244905.67,6.65,USD,NAMER,2025-09-12,2026-06-25,loan_20260629,SME
LOAN_NAMER_000482,CUST_NAMER_000482,ACC_NAMER_000482,BR_NAMER_0082,2025-07-14,386484.73,320168.86,12.69,USD,NAMER,2025-07-14,2027-04-14,loan_20260629,Retail
LOAN_NAMER_000515,CUST_NAMER_000515,ACC_NAMER_000515,BR_NAMER_0115,2026-04-05,5200368.17,3501203.18,8.25,USD,NAMER,2026-04-05,2026-11-24,loan_20260629,Corporate
LOAN_NAMER_000950,CUST_NAMER_000950,ACC_NAMER_000950,BR_NAMER_0150,2026-03-09,1224004.3,356809.15,8.64,USD,NAMER,2026-03-09,2026-12-11,loan_20260629,SME
LOAN_NAMER_000969,CUST_NAMER_000969,ACC_NAMER_000969,BR_NAMER_0169,2025-10-13,20653215.32,5308764.2,6.22,USD,NAMER,2025-10-13,2027-04-29,loan_20260629,Mega Corporate
LOAN_NAMER_000612,CUST_NAMER_000612,ACC_NAMER_000612,BR_NAMER_0012,2025-09-13,6988054.16,4855159.3,6.28,USD,NAMER,2025-09-13,2026-02-27,loan_20260629,Corporate
LOAN_NAMER_000803,CUST_NAMER_000803,ACC_NAMER_000803,BR_NAMER_0003,2026-03-30,914060.77,747192.3,11.55,USD,NAMER,2026-03-30,2028-01-12,loan_20260629,SME
LOAN_NAMER_000528,CUST_NAMER_000528,ACC_NAMER_000528,BR_NAMER_0128,2025-04-11,88566.81,16305.73,8.46,USD,NAMER,2025-04-11,2025-08-30,loan_20260629,Retail
LOAN_NAMER_000768,CUST_NAMER_000768,ACC_NAMER_000768,BR_NAMER_0168,2025-01-16,381629.42,209692.8,7.19,USD,NAMER,2025-01-16,2025-07-20,loan_20260629,Retail
LOAN_NAMER_000599,CUST_NAMER_000599,ACC_NAMER_000599,BR_NAMER_0199,2025-08-31,120108.68,101098.88,6.92,USD,NAMER,2025-08-31,2026-05-18,loan_20260629,Retail
LOAN_NAMER_000116,CUST_NAMER_000116,ACC_NAMER_000116,BR_NAMER_0116,2026-02-21,1868944.42,1198488.73,14.31,USD,NAMER,2026-02-21,2027-10-01,loan_20260629,SME
LOAN_NAMER_000507,CUST_NAMER_000507,ACC_NAMER_000507,BR_NAMER_0107,2026-05-08,537935.98,137989.19,5.23,USD,NAMER,2026-05-08,2027-03-12,loan_20260629,Retail
LOAN_NAMER_000545,CUST_NAMER_000545,ACC_NAMER_000545,BR_NAMER_0145,2026-02-15,2127949.04,1696202.58,4.92,USD,NAMER,2026-02-15,2026-07-15,loan_20260629,SME
LOAN_NAMER_000351,CUST_NAMER_000351,ACC_NAMER_000351,BR_NAMER_0151,2025-06-18,524880.72,184992.5,13.37,USD,NAMER,2025-06-18,2026-10-09,loan_20260629,Retail
LOAN_NAMER_001388,CUST_NAMER_001388,ACC_NAMER_001388,BR_NAMER_0188,2025-01-03,6114157.2,2806881.96,9.4,USD,NAMER,2025-01-03,2026-05-07,loan_20260629,Corporate
LOAN_NAMER_001718,CUST_NAMER_000118,ACC_NAMER_000118,BR_NAMER_0118,2025-09-29,504253.02,257419.01,14.59,USD,NAMER,2025-09-29,2027-04-07,loan_20260629,Retail
LOAN_NAMER_001752,CUST_NAMER_000152,ACC_NAMER_000152,BR_NAMER_0152,2025-10-20,554090.74,279604.42,4.57,USD,NAMER,2025-10-20,2027-03-27,loan_20260629,Retail
LOAN_NAMER_001051,CUST_NAMER_001051,ACC_NAMER_001051,BR_NAMER_0051,2026-05-14,432088.46,292622.59,13.63,USD,NAMER,2026-05-14,2027-01-17,loan_20260629,Retail
LOAN_NAMER_001202,CUST_NAMER_001202,ACC_NAMER_001202,BR_NAMER_0002,2025-07-14,73927.72,41167.64,8.65,USD,NAMER,2025-07-14,2026-08-11,loan_20260629,Retail
LOAN_NAMER_000276,CUST_NAMER_000276,ACC_NAMER_000276,BR_NAMER_0076,2025-08-11,2223513.28,2060307.33,15.31,USD,NAMER,2025-08-11,2026-01-07,loan_20260629,SME
LOAN_NAMER_000345,CUST_NAMER_000345,ACC_NAMER_000345,BR_NAMER_0145,2025-03-04,4696800.91,2253077.68,10.6,USD,NAMER,2025-03-04,2026-04-19,loan_20260629,Corporate
LOAN_NAMER_001777,CUST_NAMER_000177,ACC_NAMER_000177,BR_NAMER_0177,2025-02-28,1812625.35,887166.84,4.99,USD,NAMER,2025-02-28,2025-07-19,loan_20260629,Corporate
LOAN_NAMER_001217,CUST_NAMER_001217,ACC_NAMER_001217,BR_NAMER_0017,2026-05-04,2041845.62,1584447.58,6.73,USD,NAMER,2026-05-04,2027-12-29,loan_20260629,SME
LOAN_NAMER_000711,CUST_NAMER_000711,ACC_NAMER_000711,BR_NAMER_0111,2025-06-11,40352162.72,6389448.59,5.16,USD,NAMER,2025-06-11,2025-11-06,loan_20260629,Mega Corporate
LOAN_NAMER_000343,CUST_NAMER_000343,ACC_NAMER_000343,BR_NAMER_0143,2026-06-05,90904.17,83437.41,9.74,USD,NAMER,2026-06-05,2026-11-24,loan_20260629,Retail
